Id,SalePrice
1461,125868.38
1462,155534.6
1463,185417.75
1464,187751.61
1465,187438.16
1466,175441.48
1467,177983.34
1468,169087.5
1469,179246.25
1470,124430.2
1471,199519.14
1472,91746.98
1473,97948.984
1474,150731.6
1475,136627.89
1476,369155.3
1477,257495.45
1478,307161.97
1479,230269.64
1480,471920.3
1481,329906.88
1482,206658.48
1483,167843.66
1484,170446.67
1485,174439.64
1486,199518.95
1487,323435.78
1488,223268.62
1489,213840.47
1490,206415.62
1491,185916.55
1492,95380.875
1493,177129.9
1494,277167.28
1495,279733.28
1496,233861.75
1497,189986.33
1498,157503.58
1499,152393.52
1500,149935.03
1501,185208.67
1502,163647.02
1503,292007.03
1504,237148.89
1505,222941.17
1506,181167.97
1507,220181.66
1508,196767.86
1509,163508.48
1510,147423.94
1511,146000.86
1512,170345.42
1513,150280.03
1514,153698.95
1515,191481.72
1516,154926.0
1517,160068.92
1518,124045.84
1519,231106.75
1520,137897.92
1521,139329.16
1522,167429.58
1523,114055.28
1524,123389.125
1525,122025.12
1526,119684.89
1527,100540.49
1528,130967.36
1529,146104.62
1530,171670.67
1531,111509.695
1532,99720.125
1533,141623.73
1534,114797.234
1535,153699.39
1536,112474.67
1537,68475.305
1538,163664.19
1539,187389.9
1540,97463.8
1541,145415.0
1542,140336.66
1543,240169.61
1544,70538.16
1545,103187.48
1546,125877.15
1547,141168.1
1548,133253.03
1549,120755.16
1550,147421.83
1551,114828.44
1552,129068.64
1553,130497.82
1554,117377.45
1555,165106.47
1556,88575.73
1557,102360.34
1558,90918.984
1559,81010.8
1560,136942.14
1561,143109.34
1562,129324.43
1563,119309.836
1564,154647.16
1565,148087.06
1566,226281.89
1567,69213.86
1568,224271.84
1569,136459.9
1570,130437.6
1571,119352.63
1572,146924.55
1573,252242.08
1574,106178.92
1575,220085.3
1576,231385.06
1577,208060.95
1578,150840.6
1579,143836.31
1580,184075.02
1581,152426.8
1582,128620.02
1583,335081.06
1584,232909.58
1585,140156.23
1586,59911.184
1587,98441.29
1588,153968.45
1589,100932.17
1590,132585.38
1591,103594.41
1592,116454.234
1593,118876.54
1594,135350.06
1595,111290.836
1596,260971.39
1597,165286.53
1598,187738.89
1599,176249.12
1600,176700.69
1601,69471.445
1602,108977.46
1603,87496.04
1604,276791.4
1605,249357.58
1606,172216.88
1607,153413.1
1608,225576.03
1609,192397.14
1610,166145.02
1611,137231.6
1612,162964.86
1613,164535.88
1614,117570.266
1615,78001.03
1616,70078.31
1617,82273.28
1618,131624.61
1619,138554.8
1620,154808.44
1621,131580.69
1622,136406.3
1623,288090.78
1624,218753.6
1625,123861.91
1626,169462.83
1627,187019.27
1628,288389.3
1629,179541.36
1630,373420.62
1631,227163.84
1632,260661.95
1633,170934.05
1634,184795.83
1635,180311.64
1636,157873.53
1637,181716.84
1638,206434.52
1639,175025.38
1640,256309.16
1641,184023.6
1642,227369.31
1643,224715.88
1644,240058.55
1645,184176.52
1646,160936.05
1647,148380.55
1648,136809.64
1649,138349.2
1650,111974.96
1651,120472.19
1652,90671.336
1653,96166.195
1654,147503.81
1655,153983.58
1656,147339.19
1657,152042.22
1658,147361.11
1659,136828.56
1660,149874.69
1661,481034.06
1662,388086.88
1663,362991.47
1664,450180.22
1665,322371.53
1666,297748.2
1667,339988.0
1668,317421.12
1669,308676.06
1670,332055.16
1671,285554.84
1672,493409.38
1673,303476.03
1674,259190.52
1675,184197.77
1676,191704.81
1677,222445.27
1678,469208.44
1679,383682.6
1680,336155.88
1681,245450.89
1682,297856.97
1683,177661.64
1684,168378.66
1685,173407.11
1686,167558.02
1687,166427.92
1688,183775.78
1689,189235.0
1690,188169.98
1691,185571.83
1692,276696.66
1693,168370.47
1694,188741.33
1695,166720.22
1696,275096.62
1697,170691.31
1698,366928.62
1699,314909.2
1700,260698.75
1701,264548.47
1702,244005.97
1703,243592.11
1704,284819.7
1705,235917.02
1706,472677.47
1707,225435.81
1708,224690.38
1709,285376.0
1710,224906.69
1711,277325.9
1712,236541.3
1713,260350.9
1714,227697.84
1715,212147.61
1716,185767.48
1717,172001.05
1718,128438.61
1719,206788.8
1720,254285.19
1721,169601.06
1722,122651.055
1723,156522.64
1724,210581.98
1725,240455.62
1726,191985.3
1727,159257.64
1728,174690.69
1729,165875.55
1730,153133.03
1731,124113.88
1732,133077.78
1733,118642.21
1734,123122.766
1735,130541.39
1736,116663.33
1737,329375.6
1738,223220.72
1739,243344.12
1740,194256.52
1741,176239.38
1742,182537.7
1743,177688.4
1744,316782.75
1745,237515.78
1746,224644.52
1747,210309.05
1748,220585.19
1749,160093.05
1750,136510.14
1751,231960.84
1752,121034.17
1753,140812.72
1754,200822.98
1755,166602.61
1756,122720.32
1757,124161.83
1758,140399.58
1759,177054.75
1760,163664.81
1761,139185.06
1762,171907.89
1763,167585.34
1764,116482.445
1765,162295.47
1766,174982.31
1767,208647.92
1768,143021.34
1769,142725.94
1770,145212.53
1771,126094.02
1772,135876.44
1773,139054.64
1774,124551.9
1775,139755.4
1776,123411.25
